# id	canonical	aliases	medical domains	related concepts
myocardial infarction	myocardial infarction	mi|heart attack|acute mi|acute myocardial infarction|ami	cardiology|medicine|emergency	acute coronary syndrome|stemi|nstemi
acute coronary syndrome	acute coronary syndrome	acs|acute coronary syndrome	cardiology|medicine|emergency	myocardial infarction|unstable angina
heart failure	heart failure	chf|congestive heart failure|cardiac failure|hf	cardiology|medicine	ejection fraction|cardiomyopathy
hypertension	hypertension	htn|high blood pressure|arterial hypertension	cardiology|medicine	hypertensive emergency|secondary hypertension
atrial fibrillation	atrial fibrillation	afib	cardiology|medicine	arrhythmia|stroke
ventricular tachycardia	ventricular tachycardia	vt|ventricular tachycardia	cardiology|emergency	arrhythmia|torsades de pointes
stemi	st elevation myocardial infarction	stemi|st elevation mi|st elevation myocardial infarction	cardiology|emergency	myocardial infarction
nstemi	non st elevation myocardial infarction	nstemi|non st elevation mi|non st elevation myocardial infarction	cardiology|emergency	myocardial infarction
stroke	stroke	cva|cerebrovascular accident|brain attack	neurology|medicine|emergency	ischemic stroke|intracerebral hemorrhage
seizure	seizure	fit|convulsion|epileptic seizure	neurology|medicine|pediatrics	epilepsy|status epilepticus
status epilepticus	status epilepticus	se|convulsive status|status epilepticus	neurology|emergency|pediatrics	seizure|benzodiazepine
multiple sclerosis	multiple sclerosis	ms|disseminated sclerosis	neurology|medicine	optic neuritis|demyelination
parkinson disease	parkinson disease	parkinsonism|parkinsons disease|pd	neurology|medicine	bradykinesia|dopamine
alzheimer disease	alzheimer disease	alzheimers|alzheimer dementia	neurology|psychiatry|medicine	dementia|amyloid
meningitis	meningitis	meningitis|meningeal infection	neurology|microbiology|medicine	csf|meningococcal disease
encephalitis	encephalitis	brain inflammation|viral encephalitis	neurology|microbiology|medicine	herpes simplex|csf
nephrotic syndrome	nephrotic syndrome	nephrotic state|nephrosis	nephrology|medicine|pathology	proteinuria|hypoalbuminemia
nephritic syndrome	nephritic syndrome	nephritic state	nephrology|medicine|pathology	hematuria|glomerulonephritis
acute kidney injury	acute kidney injury	aki|acute renal failure|arf	nephrology|medicine	oliguria|creatinine
chronic kidney disease	chronic kidney disease	ckd|chronic renal failure|crf	nephrology|medicine	uremia|egfr
hyperkalemia	hyperkalemia	hyperkalaemia|high potassium	nephrology|medicine|emergency	arrhythmia|ecg
hyponatremia	hyponatremia	hyponatraemia|low sodium	nephrology|medicine|endocrinology	siadH|osmolality
siadh	syndrome of inappropriate antidiuretic hormone secretion	siadH|syndrome of inappropriate adh|inappropriate adh	endocrinology|nephrology|medicine	hyponatremia|osmolality
copd	chronic obstructive pulmonary disease	copd|chronic obstructive airway disease	respiratory|medicine	emphysema|chronic bronchitis
asthma	asthma	bronchial asthma|reactive airway disease	respiratory|medicine|pediatrics	wheeze|bronchodilator
pneumonia	pneumonia	community acquired pneumonia|cap|lung infection	respiratory|medicine|microbiology|pediatrics	consolidation|pneumococcus
pulmonary embolism	pulmonary embolism	pe|pulmonary thromboembolism|pte	respiratory|medicine|emergency	dvt|venous thromboembolism
tuberculosis	tuberculosis	tb|pulmonary tb|koch disease	respiratory|microbiology|medicine	mycobacterium tuberculosis|mantoux
pneumothorax	pneumothorax	collapsed lung|spontaneous pneumothorax	respiratory|surgery|emergency	pleural effusion|tension pneumothorax
iron deficiency anemia	iron deficiency anemia	ida|iron deficiency anaemia|microcytic hypochromic anemia	hematology|medicine|pathology	ferritin|transferrin
megaloblastic anemia	megaloblastic anemia	megaloblastic anaemia|macrocytic anemia	hematology|medicine|pathology	vitamin b12|folate
aplastic anemia	aplastic anemia	aplastic anaemia|bone marrow failure	hematology|medicine|pathology	pancytopenia|bone marrow
leukemia	leukemia	leukaemia|blood cancer	hematology|pathology|medicine	aml|all|cml|cll
aml	acute myeloid leukemia	aml|acute myeloid leukaemia	hematology|pathology	m3|promyelocytic leukemia
all	acute lymphoblastic leukemia	all|acute lymphoblastic leukaemia	hematology|pediatrics|pathology	lymphoblast|t all
cml	chronic myeloid leukemia	cml|chronic myeloid leukaemia	hematology|pathology	bcr abl|philadelphia chromosome
cll	chronic lymphocytic leukemia	cll|chronic lymphocytic leukaemia	hematology|medicine	lymphocytosis
hemophilia	hemophilia	haemophilia|hemophilia a|factor viii deficiency	hematology|pediatrics|pathology	factor viii|factor ix|bleeding
dic	disseminated intravascular coagulation	dic|consumptive coagulopathy	hematology|medicine|obstetrics|emergency	fibrin degradation products|shock
sepsis	sepsis	septicemia|septic shock	medicine|microbiology|emergency	organ dysfunction|lactate
cancer	malignancy	cancer|malignancy|neoplasm|tumor|tumour	oncology|pathology|medicine	metastasis|tumor marker
