# term	aliases	student meaning	tags
ini-cet	inicet|ini cet|institute entrance	the postgraduate entrance exam conducted for participating INIs; Ben should recognise both INI-CET and INICET shorthand	exam|india
neet-pg	neet pg|neetpg|pg medical entrance	postgraduate medical entrance exam shorthand; keep it distinct from INI-CET	exam|india
pyq	pyqs|previous year question|previous year questions	previous-year question; usually used for exam-trend and revision queries	exam|revision
ibq	image based question|image-based question|image question|visual question	question whose key clue is a visual such as a slide, radiograph, ECG, clinical photograph or instrument	exam|image
sba	single best answer|single-best-answer	single-best-answer style question	exam|mcq
mcq	mcqs|multiple choice question|multiple choice questions	multiple-choice question shorthand	exam|mcq
nbs	next best step|next-best-step	the next best step in a clinical vignette	exam|clinical
one liner	one-liner|one liners|one-liners	short high-recall fact or question	exam|revision
high yield	high-yield|high yield point|high-yield point	fact or concept with high examination value	exam|revision
volatile	volatile topic|volatile facts	fact likely to require repeated short-interval revision	exam|revision
integrated question	integrated|integrated mcq|integrated question	question linking two or more subjects or systems	exam|clinical
clinical vignette	vignette|clinical stem|stem	patient scenario used to test applied reasoning	exam|clinical
negative stem	negative question|except question|incorrect question|not true question	question where the requested option is the exception, false statement or incorrect choice	exam|trap
trap	mcq trap|exam trap|common trap	plausible distractor or wording feature intended to expose a reasoning error	exam|trap
spotter	spotter|spot diagnosis|spot diagnosis question	image-driven rapid recognition question	exam|image
histopathology	histology slide|pathology slide|histopathology slide|microsection	microscopic pathology image or tissue section	exam|image|pathology
micrograph	microscopy image|microscopic image|micrograph	image acquired by microscopy	exam|image|pathology
gross specimen	ggross specimen|gross pathology|specimen	macroscopic pathological specimen	exam|image|pathology
clinical photograph	clinical photo|clinical image|clinical picture	photograph showing a clinical sign or lesion	exam|image
radiograph	x ray|xray|x-ray|plain film	plain radiographic image	exam|image|radiology
ct	computed tomography|ct scan	computed tomography image	exam|image|radiology
mri	magnetic resonance imaging|mr imaging	magnetic resonance image	exam|image|radiology
usg	ultrasound|ultrasonography|sonography	ultrasound imaging shorthand commonly used in Indian medical study	exam|image|radiology
ecg	ekg|electrocardiogram|electrocardiography	ECG tracing used for rhythm, conduction, ischemia and other questions	exam|image|medicine
fundus	fundoscopy|fundus photograph|fundal photo	ocular fundus image	exam|image|ophthalmology
instrument	instrument spotter|surgical instrument|obg instrument|anaesthesia instrument	instrument-identification question	exam|image|surgery
stain	special stain|special stains|histochemical stain	staining method used as an identifying clue in microscopy	exam|image|pathology|microbiology
most common	commonest|most frequent|most common cause	frequency/commonest question wording	exam|question-style
most likely	most likely diagnosis|most likely cause	probability-based clinical question wording	exam|question-style
gold standard	gold-standard|gold standard test	preferred reference/confirmatory standard in a question	exam|question-style
first line	first-line|first line treatment|first-line treatment	preferred initial management	exam|question-style
second line	second-line|second line treatment	management after failure/intolerance or defined indication	exam|question-style
definitive treatment	definitive management|definitive therapy	therapy intended to provide definitive control	exam|question-style
drug of choice	doc|drug of choice	preferred drug for the specified condition/context	exam|pharmacology
next investigation	best investigation|investigation of choice|best test	question asking which investigation should be selected	exam|diagnosis
confirmatory test	confirmation test|confirmatory investigation	test used to establish diagnosis after initial assessment	exam|diagnosis
screening	screening test|screening investigation	test applied before symptoms or in a defined at-risk population	exam|preventive
sensitivity	sens|true positive rate	probability a test is positive when disease is present	exam|biostatistics
specificity	spec|true negative rate	probability a test is negative when disease is absent	exam|biostatistics
ppv	positive predictive value	probability of disease given a positive test	exam|biostatistics
npv	negative predictive value	probability of no disease given a negative test	exam|biostatistics
lr+	positive likelihood ratio|positive lr	likelihood-ratio shorthand for a positive test	exam|biostatistics
lr-	negative likelihood ratio|negative lr	likelihood-ratio shorthand for a negative test	exam|biostatistics
rr	relative risk|risk ratio	relative-risk shorthand	exam|biostatistics
or	odds ratio|odds-ratio	odds-ratio shorthand; interpret from study design/context	exam|biostatistics
arr	absolute risk reduction	absolute difference in event risk between groups	exam|biostatistics
rrr	relative risk reduction	relative reduction in event risk	exam|biostatistics
nnt	number needed to treat	people who need treatment for one additional beneficial outcome	exam|biostatistics
nnh	number needed to harm	people exposed for one additional harmful outcome	exam|biostatistics
recall	memory-based|recall question	question testing direct remembered fact rather than a long reasoning chain	exam|question-style
conceptual	concept question|concept-based	question testing mechanism or transferable understanding	exam|question-style
application	application question|applied question	question requiring use of a concept in a clinical context	exam|question-style
eponym	eponyms|eponymous sign	named sign, disease, test, cell, body or syndrome	exam|terminology
association	associated with|association question	question asking for a linked disease, gene, drug, finding or risk factor	exam|question-style
complication	complications|complication question	question asking what occurs as a consequence of a disease or treatment	exam|question-style
mechanism	mechanism of action|pathogenesis|pathophysiology	question focused on causal or pharmacologic mechanism	exam|question-style
management	management question|treatment question	question focused on treatment, escalation or next step	exam|question-style
image bank	image banks|visual bank	collection of image-driven questions or high-yield visual references	exam|image
rapid revision	rapid revision|rapid review|quick revision	short-cycle revision of high-yield material	exam|revision
must know	must-know|must know point	priority fact that should be retained for examination	exam|revision
last-minute revision	last minute|last-minute revision|day before exam	final short revision phase; prioritise high-yield and volatile facts	exam|revision
subject-wise	subject wise|subjectwise	query or revision organised by undergraduate subject	exam|organisation
topic-wise	topic wise|topicwise	query or revision organised by topic	exam|organisation
cross subject	cross-subject|cross subject integration	linking concepts across subjects	exam|integration
PYQ trend	pyq trend|pyq trends|previous year trend	recurring concepts or patterns observed across previous-year questions	exam|revision
image recall	visual recall|image recognition	recognition of a classic visual pattern	exam|image
